geneSymbol,rank,tumour_acronym,N,any_alter_freq,mut_freq,any_cna_freq,amp_freq,deep_del_freq
PIK3CA,1,LUSC,484,0.9194214876033058,0.10950413223140495,0.9152892561983471,0.378099173553719,0.0
PIK3CA,2,CESC,287,0.867595818815331,0.2857142857142857,0.7804878048780488,0.14982578397212543,0.0
PIK3CA,3,UCS,56,0.8392857142857143,0.3392857142857143,0.7142857142857143,0.10714285714285714,0.0
PIK3CA,4,OV,511,0.837573385518591,0.015655577299412915,0.8336594911937377,0.20939334637964774,0.0
PIK3CA,5,HNSC,509,0.7740667976424361,0.17092337917485265,0.7328094302554028,0.15520628683693516,0.0
PIK3R1,1,LUSC,484,0.8099173553719008,0.024793388429752067,0.8078512396694215,0.0,0.012396694214876033
PIK3R1,2,OV,511,0.7475538160469667,0.0019569471624266144,0.7475538160469667,0.0,0.033268101761252444
PIK3R1,3,TGCT,149,0.7248322147651006,0.0,0.7248322147651006,0.0,0.006711409395973154
PIK3R1,4,ACC,89,0.6966292134831461,0.0,0.6966292134831461,0.033707865168539325,0.0
PIK3R1,5,UCS,56,0.6964285714285714,0.10714285714285714,0.6428571428571429,0.0,0.0
PIK3CB,1,LUSC,484,0.8202479338842975,0.028925619834710745,0.8181818181818182,0.08884297520661157,0.0
PIK3CB,2,OV,511,0.7162426614481409,0.01761252446183953,0.7103718199608611,0.05675146771037182,0.0
PIK3CB,3,CESC,287,0.7142857142857143,0.003484320557491289,0.710801393728223,0.07317073170731707,0.0
PIK3CB,4,ESCA,182,0.6758241758241759,0.02197802197802198,0.6593406593406593,0.06043956043956044,0.0
PIK3CB,5,HNSC,509,0.656188605108055,0.011787819253438114,0.6522593320235757,0.05108055009823183,0.0
PIK3R2,1,UCS,56,0.7678571428571429,0.0,0.7678571428571429,0.03571428571428571,0.0
PIK3R2,2,OV,511,0.6966731898238747,0.005870841487279843,0.6947162426614482,0.050880626223091974,0.0019569471624266144
PIK3R2,3,ACC,89,0.651685393258427,0.011235955056179775,0.651685393258427,0.011235955056179775,0.0
PIK3R2,4,LUSC,484,0.5764462809917356,0.022727272727272728,0.5661157024793388,0.006198347107438017,0.0
PIK3R2,5,TGCT,149,0.5637583892617449,0.0,0.5637583892617449,0.0,0.0
PTEN,1,GBM,380,0.9289473684210526,0.33421052631578946,0.9184210526315789,0.0,0.11315789473684211
PTEN,2,UCEC,511,0.8414872798434442,0.649706457925636,0.3522504892367906,0.005870841487279843,0.03718199608610567
PTEN,3,UCS,56,0.7857142857142857,0.19642857142857142,0.6785714285714286,0.0,0.017857142857142856
PTEN,4,KICH,65,0.7692307692307693,0.09230769230769231,0.7692307692307693,0.0,0.015384615384615385
PTEN,5,SKCM,363,0.6721763085399449,0.09641873278236915,0.6584022038567493,0.0,0.07713498622589532
AKT1,1,UCS,56,0.6964285714285714,0.0,0.6964285714285714,0.017857142857142856,0.0
AKT1,2,LUSC,484,0.6528925619834711,0.010330578512396695,0.6466942148760331,0.026859504132231406,0.006198347107438017
AKT1,3,OV,511,0.649706457925636,0.0,0.649706457925636,0.0410958904109589,0.0019569471624266144
AKT1,4,ESCA,182,0.5934065934065934,0.01098901098901099,0.5879120879120879,0.016483516483516484,0.005494505494505495
AKT1,5,CHOL,36,0.5833333333333334,0.0,0.5833333333333334,0.0,0.027777777777777776
AKT2,1,UCS,56,0.8392857142857143,0.0,0.8392857142857143,0.14285714285714285,0.0
AKT2,2,OV,511,0.6966731898238747,0.0019569471624266144,0.6947162426614482,0.060665362035225046,0.0019569471624266144
AKT2,3,ACC,89,0.6629213483146067,0.0,0.6629213483146067,0.011235955056179775,0.0
AKT2,4,LUSC,484,0.621900826446281,0.010330578512396695,0.6198347107438017,0.05991735537190083,0.0
AKT2,5,TGCT,149,0.5570469798657718,0.0,0.5570469798657718,0.0,0.0
AKT3,1,KICH,65,0.7846153846153846,0.0,0.7846153846153846,0.0,0.0
AKT3,2,BRCA,1052,0.7709125475285171,0.006653992395437262,0.7680608365019012,0.09885931558935361,0.0019011406844106464
AKT3,3,UCS,56,0.7678571428571429,0.0,0.7678571428571429,0.05357142857142857,0.0
AKT3,4,LIHC,361,0.7423822714681441,0.00554016620498615,0.7423822714681441,0.0664819944598338,0.0
AKT3,5,LUAD,511,0.7318982387475538,0.01761252446183953,0.7279843444227005,0.050880626223091974,0.0
MTOR,1,KICH,65,0.8461538461538461,0.03076923076923077,0.8153846153846154,0.0,0.0
MTOR,2,CHOL,36,0.8055555555555556,0.0,0.8055555555555556,0.0,0.027777777777777776
MTOR,3,OV,511,0.6966731898238747,0.019569471624266144,0.6908023483365949,0.019569471624266144,0.0019569471624266144
MTOR,4,UCS,56,0.6607142857142857,0.0,0.6607142857142857,0.0,0.0
MTOR,5,PCPG,161,0.6273291925465838,0.006211180124223602,0.6273291925465838,0.0,0.024844720496894408
TSC1,1,UCS,56,0.8214285714285714,0.017857142857142856,0.8035714285714286,0.0,0.0
TSC1,2,OV,511,0.7123287671232876,0.003913894324853229,0.7103718199608611,0.003913894324853229,0.0136986301369863
TSC1,3,LUSC,484,0.6880165289256198,0.02066115702479339,0.6818181818181818,0.004132231404958678,0.004132231404958678
TSC1,4,ESCA,182,0.6318681318681318,0.03296703296703297,0.6043956043956044,0.01098901098901099,0.0
TSC1,5,BLCA,407,0.5823095823095823,0.085995085995086,0.5577395577395577,0.002457002457002457,0.012285012285012284
TSC2,1,UCS,56,0.7857142857142857,0.0,0.7857142857142857,0.03571428571428571,0.0
TSC2,2,OV,511,0.761252446183953,0.0136986301369863,0.761252446183953,0.009784735812133072,0.005870841487279843
TSC2,3,ACC,89,0.6404494382022472,0.011235955056179775,0.6404494382022472,0.011235955056179775,0.0
TSC2,4,BRCA,1052,0.6150190114068441,0.008555133079847909,0.6140684410646388,0.04182509505703422,0.0
TSC2,5,ESCA,182,0.554945054945055,0.027472527472527472,0.5384615384615384,0.005494505494505495,0.016483516483516484
RICTOR,1,LUSC,484,0.8057851239669421,0.028925619834710745,0.7913223140495868,0.10537190082644628,0.0
RICTOR,2,ACC,89,0.7415730337078652,0.0,0.7415730337078652,0.056179775280898875,0.0
RICTOR,3,TGCT,149,0.7181208053691275,0.0,0.7181208053691275,0.0,0.0
RICTOR,4,ESCA,182,0.7032967032967034,0.027472527472527472,0.6923076923076923,0.08241758241758242,0.0
RICTOR,5,LUAD,511,0.6555772994129159,0.043052837573385516,0.6438356164383562,0.08414872798434442,0.0019569471624266144
RPTOR,1,UCS,56,0.75,0.0,0.75,0.05357142857142857,0.0
RPTOR,2,KICH,65,0.7384615384615385,0.015384615384615385,0.7384615384615385,0.0,0.0
RPTOR,3,OV,511,0.7181996086105675,0.007827788649706457,0.7181996086105675,0.03913894324853229,0.0019569471624266144
RPTOR,4,KIRP,276,0.7028985507246377,0.007246376811594203,0.7028985507246377,0.0,0.0
RPTOR,5,LUSC,484,0.6033057851239669,0.012396694214876033,0.5991735537190083,0.014462809917355372,0.002066115702479339
STK11,1,OV,511,0.9197651663405088,0.0,0.9197651663405088,0.0,0.03522504892367906
STK11,2,UCS,56,0.8928571428571429,0.0,0.8928571428571429,0.0,0.0
STK11,3,ACC,89,0.6629213483146067,0.02247191011235955,0.651685393258427,0.033707865168539325,0.0
STK11,4,LUSC,484,0.628099173553719,0.010330578512396695,0.628099173553719,0.002066115702479339,0.006198347107438017
STK11,5,LUAD,511,0.6203522504892368,0.14677103718199608,0.5831702544031311,0.0,0.005870841487279843
INPP4B,1,UCS,56,0.75,0.017857142857142856,0.7321428571428571,0.0,0.017857142857142856
INPP4B,2,OV,511,0.726027397260274,0.003913894324853229,0.7240704500978473,0.01761252446183953,0.0019569471624266144
INPP4B,3,TGCT,149,0.7248322147651006,0.0,0.7248322147651006,0.0,0.0
