rank,tumour_acronym,mean_any_alter_freq,mean_mut_freq,mean_any_cna_freq,N,n_genes
1,UCS,0.7440476190476191,0.04523809523809524,0.7226190476190477,56,15
2,OV,0.7125896934116113,0.007827788649706457,0.7106327462491845,511,15
3,LUSC,0.6790633608815427,0.032231404958677684,0.6712121212121213,484,15
4,ESCA,0.5992673992673992,0.024542124542124545,0.5868131868131868,182,15
5,LUAD,0.5466405740378343,0.031702544031311154,0.5342465753424658,511,15
6,TGCT,0.5319910514541387,0.0017897091722595079,0.5306487695749441,149,15
7,BLCA,0.526945126945127,0.039639639639639644,0.51007371007371,407,15
8,ACC,0.5228464419475656,0.00449438202247191,0.5220973782771535,89,15
9,SARC,0.48010540184453226,0.008432147562582345,0.47536231884057967,253,15
10,BRCA,0.4754119138149556,0.03517110266159696,0.455893536121673,1052,15
11,CESC,0.47177700348432056,0.04390243902439025,0.4504065040650406,287,15
12,SKCM,0.4714416896235078,0.0527089072543618,0.4438934802571166,363,15
13,HNSC,0.43876882776686316,0.023313686967910936,0.42946954813359534,509,15
14,CHOL,0.437037037037037,0.014814814814814814,0.42962962962962964,36,15
15,KICH,0.4348717948717949,0.014358974358974359,0.4297435897435898,65,15
16,STAD,0.4317972350230415,0.040399385560675884,0.4026113671274961,434,15
17,LIHC,0.41126500461680515,0.01348107109879963,0.4049861495844876,361,15
18,UCEC,0.39699934768427914,0.15107632093933462,0.27018917155903455,511,15
19,COADREAD,0.36353383458646615,0.04899749373433584,0.3240601503759398,532,15
20,GBM,0.33368421052631575,0.04228070175438596,0.3171929824561403,380,15
21,MESO,0.32325581395348835,0.007751937984496124,0.31860465116279074,86,15
22,PAAD,0.28202247191011237,0.009363295880149813,0.2756554307116105,178,15
23,KIRC,0.24583333333333332,0.012833333333333334,0.238,400,15
24,KIRP,0.23140096618357486,0.009903381642512078,0.22439613526570049,276,15
25,PCPG,0.22236024844720498,0.0008281573498964803,0.22194616977225673,161,15
26,LGG,0.20521852576647098,0.014090019569471623,0.19504240052185257,511,15
27,DLBC,0.2016260162601626,0.0065040650406504065,0.1951219512195122,41,15
28,UVM,0.16833333333333333,0.0008333333333333334,0.16833333333333333,80,15
29,PRAD,0.13769597818677576,0.007089297886843899,0.13333333333333333,489,15
30,THYM,0.0959349593495935,0.0032520325203252032,0.0926829268292683,123,15
31,THCA,0.03326488706365503,0.0030116358658453116,0.030663928815879534,487,15
32,LAML,0.032460732984293195,0.0024432809773123907,0.0300174520069808,191,15
