tumour_acronym,studyId,studyName,geneSymbol,entrezGeneId,N,mut_n,mut_freq,amp_n,amp_freq,gain_n,gain_freq,shallow_del_n,shallow_del_freq,deep_del_n,deep_del_freq,any_cna_n,any_cna_freq,any_alter_n,any_alter_freq,mut_only_n,cna_only_n,mut_and_cna_n
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",PIK3CA,5290,89,1,0.011235955056179775,0,0.0,19,0.21348314606741572,18,0.20224719101123595,0,0.0,37,0.4157303370786517,37,0.4157303370786517,0,36,1
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",PIK3R1,5295,89,0,0.0,3,0.033707865168539325,57,0.6404494382022472,2,0.02247191011235955,0,0.0,62,0.6966292134831461,62,0.6966292134831461,0,62,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",PIK3CB,5291,89,0,0.0,0,0.0,18,0.20224719101123595,20,0.2247191011235955,0,0.0,38,0.42696629213483145,38,0.42696629213483145,0,38,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",PIK3R2,5296,89,1,0.011235955056179775,1,0.011235955056179775,54,0.6067415730337079,3,0.033707865168539325,0,0.0,58,0.651685393258427,58,0.651685393258427,0,57,1
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",PTEN,5728,89,0,0.0,0,0.0,25,0.2808988764044944,11,0.12359550561797752,0,0.0,36,0.4044943820224719,36,0.4044943820224719,0,36,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",AKT1,207,89,0,0.0,2,0.02247191011235955,22,0.24719101123595505,15,0.16853932584269662,0,0.0,39,0.43820224719101125,39,0.43820224719101125,0,39,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",AKT2,208,89,0,0.0,1,0.011235955056179775,52,0.5842696629213483,6,0.06741573033707865,0,0.0,59,0.6629213483146067,59,0.6629213483146067,0,59,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",AKT3,10000,89,0,0.0,0,0.0,15,0.16853932584269662,15,0.16853932584269662,0,0.0,30,0.33707865168539325,30,0.33707865168539325,0,30,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",MTOR,2475,89,0,0.0,1,0.011235955056179775,3,0.033707865168539325,33,0.3707865168539326,4,0.0449438202247191,41,0.4606741573033708,41,0.4606741573033708,0,41,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",TSC1,7248,89,0,0.0,2,0.02247191011235955,33,0.3707865168539326,4,0.0449438202247191,0,0.0,39,0.43820224719101125,39,0.43820224719101125,0,39,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",TSC2,7249,89,1,0.011235955056179775,1,0.011235955056179775,48,0.5393258426966292,8,0.0898876404494382,0,0.0,57,0.6404494382022472,57,0.6404494382022472,0,56,1
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",RICTOR,253260,89,0,0.0,5,0.056179775280898875,58,0.651685393258427,3,0.033707865168539325,0,0.0,66,0.7415730337078652,66,0.7415730337078652,0,66,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",RPTOR,57521,89,1,0.011235955056179775,1,0.011235955056179775,12,0.1348314606741573,18,0.20224719101123595,1,0.011235955056179775,32,0.3595505617977528,32,0.3595505617977528,0,31,1
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",STK11,6794,89,2,0.02247191011235955,3,0.033707865168539325,51,0.5730337078651685,4,0.0449438202247191,0,0.0,58,0.651685393258427,59,0.6629213483146067,1,57,1
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",INPP4B,8821,89,0,0.0,0,0.0,32,0.3595505617977528,13,0.14606741573033707,0,0.0,45,0.5056179775280899,45,0.5056179775280899,0,45,0
