geneSymbol,ACC,BLCA,BRCA,CESC,CHOL,COADREAD,DLBC,ESCA,GBM,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STAD,TGCT,THCA,THYM,UCEC,UCS,UVM
PIK3CA,0.4157303370786517,0.6535626535626535,0.5807984790874525,0.867595818815331,0.3888888888888889,0.4830827067669173,0.4146341463414634,0.7472527472527473,0.3157894736842105,0.7740667976424361,0.2153846153846154,0.2875,0.37318840579710144,0.020942408376963352,0.16046966731898238,0.32409972299168976,0.5459882583170255,0.9194214876033058,0.3023255813953488,0.837573385518591,0.2752808988764045,0.577639751552795,0.1901840490797546,0.3794466403162055,0.39944903581267216,0.5414746543778802,0.46308724832214765,0.018480492813141684,0.08943089430894309,0.6868884540117417,0.8392857142857143,0.55
PIK3R1,0.6966292134831461,0.5823095823095823,0.4619771863117871,0.3623693379790941,0.4166666666666667,0.39097744360902253,0.17073170731707318,0.6648351648351648,0.24736842105263157,0.48722986247544203,0.27692307692307694,0.325,0.13768115942028986,0.02617801047120419,0.12133072407045009,0.407202216066482,0.5753424657534246,0.8099173553719008,0.2558139534883721,0.7475538160469667,0.25842696629213485,0.09937888198757763,0.2167689161554192,0.4268774703557312,0.4380165289256198,0.45852534562211983,0.7248322147651006,0.03490759753593429,0.11382113821138211,0.512720156555773,0.6964285714285714,0.075
PIK3CB,0.42696629213483145,0.5454545454545454,0.34220532319391633,0.7142857142857143,0.3611111111111111,0.2518796992481203,0.3902439024390244,0.6758241758241759,0.24473684210526317,0.656188605108055,0.2153846153846154,0.305,0.36594202898550726,0.031413612565445025,0.08023483365949119,0.24930747922437674,0.4774951076320939,0.8202479338842975,0.27906976744186046,0.7162426614481409,0.23595505617977527,0.5652173913043478,0.18200408997955012,0.35968379446640314,0.3691460055096419,0.391705069124424,0.40939597315436244,0.012320328542094456,0.0975609756097561,0.33463796477495106,0.6071428571428571,0.55
PIK3R2,0.651685393258427,0.4520884520884521,0.38783269961977185,0.3797909407665505,0.3611111111111111,0.3026315789473684,0.07317073170731707,0.5164835164835165,0.4342105263157895,0.343811394891945,0.3076923076923077,0.13,0.08333333333333333,0.05235602094240838,0.24266144814090018,0.3296398891966759,0.5557729941291585,0.5764462809917356,0.26744186046511625,0.6966731898238747,0.24719101123595505,0.13043478260869565,0.06952965235173825,0.4743083003952569,0.4022038567493113,0.39400921658986177,0.5637583892617449,0.026694045174537988,0.056910569105691054,0.30919765166340507,0.7678571428571429,0.075
PTEN,0.4044943820224719,0.5110565110565111,0.40209125475285173,0.40418118466898956,0.3333333333333333,0.3308270676691729,0.2682926829268293,0.510989010989011,0.9289473684210526,0.3477406679764244,0.7692307692307693,0.2175,0.11594202898550725,0.031413612565445025,0.23483365949119372,0.3656509695290859,0.4344422700587084,0.6425619834710744,0.36046511627906974,0.6086105675146771,0.2696629213483146,0.08074534161490683,0.3394683026584867,0.5849802371541502,0.6721763085399449,0.4308755760368664,0.5167785234899329,0.028747433264887063,0.04878048780487805,0.8414872798434442,0.7857142857142857,0.0125
AKT1,0.43820224719101125,0.49385749385749383,0.4591254752851711,0.3588850174216028,0.5833333333333334,0.42857142857142855,0.0975609756097561,0.5934065934065934,0.3526315789473684,0.4636542239685658,0.36923076923076925,0.485,0.1956521739130435,0.010471204188481676,0.2172211350293542,0.4182825484764543,0.5264187866927593,0.6528925619834711,0.4418604651162791,0.649706457925636,0.2696629213483146,0.17391304347826086,0.11042944785276074,0.5059288537549407,0.465564738292011,0.4009216589861751,0.5100671140939598,0.03696098562628337,0.13008130081300814,0.2720156555772994,0.6964285714285714,0.0875
AKT2,0.6629213483146067,0.5257985257985258,0.40304182509505704,0.42857142857142855,0.2777777777777778,0.3007518796992481,0.14634146341463414,0.521978021978022,0.4,0.343811394891945,0.3384615384615385,0.1275,0.07971014492753623,0.04712041884816754,0.50293542074364,0.3157894736842105,0.5107632093933464,0.621900826446281,0.2441860465116279,0.6966731898238747,0.3089887640449438,0.11180124223602485,0.08384458077709611,0.5296442687747036,0.3691460055096419,0.4055299539170507,0.5570469798657718,0.026694045174537988,0.04878048780487805,0.28180039138943247,0.8392857142857143,0.0625
AKT3,0.33707865168539325,0.48157248157248156,0.7709125475285171,0.5644599303135889,0.6388888888888888,0.37406015037593987,0.34146341463414637,0.5714285714285714,0.2131578947368421,0.3654223968565815,0.7846153846153846,0.185,0.14492753623188406,0.020942408376963352,0.1232876712328767,0.7423822714681441,0.7318982387475538,0.5847107438016529,0.313953488372093,0.6594911937377691,0.3707865168539326,0.2608695652173913,0.10633946830265849,0.48221343873517786,0.6198347107438017,0.3824884792626728,0.48322147651006714,0.06776180698151951,0.22764227642276422,0.47162426614481406,0.7678571428571429,0.175
MTOR,0.4606741573033708,0.41277641277641275,0.48003802281368824,0.4250871080139373,0.8055555555555556,0.43796992481203006,0.12195121951219512,0.5384615384615384,0.2710526315789474,0.30844793713163066,0.8461538461538461,0.26,0.19927536231884058,0.05235602094240838,0.4187866927592955,0.4709141274238227,0.49902152641878667,0.5867768595041323,0.3953488372093023,0.6966731898238747,0.38764044943820225,0.6273291925465838,0.11860940695296524,0.5098814229249012,0.5013774104683195,0.41705069124423966,0.3691275167785235,0.012320328542094456,0.08943089430894309,0.33659491193737767,0.6607142857142857,0.3
TSC1,0.43820224719101125,0.5823095823095823,0.41920152091254753,0.40069686411149824,0.5555555555555556,0.34210526315789475,0.1951219512195122,0.6318681318681318,0.30526315789473685,0.4656188605108055,0.3384615384615385,0.335,0.13405797101449277,0.020942408376963352,0.1761252446183953,0.3739612188365651,0.5459882583170255,0.6880165289256198,0.3023255813953488,0.7123287671232876,0.3258426966292135,0.08695652173913043,0.1411042944785276,0.4980237154150198,0.5785123966942148,0.45622119815668205,0.5033557046979866,0.06981519507186858,0.13008130081300814,0.34833659491193736,0.8214285714285714,0.125
