geneSymbol,ACC,BLCA,BRCA,CESC,CHOL,COADREAD,DLBC,ESCA,GBM,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STAD,TGCT,THCA,THYM,UCEC,UCS,UVM
PIK3CA,0.4157303370786517,0.5651105651105651,0.3688212927756654,0.7804878048780488,0.3611111111111111,0.2556390977443609,0.4146341463414634,0.7142857142857143,0.2394736842105263,0.7328094302554028,0.2153846153846154,0.28,0.36231884057971014,0.020942408376963352,0.08610567514677103,0.296398891966759,0.5244618395303327,0.9152892561983471,0.3023255813953488,0.8336594911937377,0.25842696629213485,0.577639751552795,0.17177914110429449,0.36363636363636365,0.3608815426997245,0.4423963133640553,0.44966442953020136,0.01026694045174538,0.08943089430894309,0.3013698630136986,0.7142857142857143,0.55
PIK3R1,0.6966292134831461,0.5773955773955773,0.44866920152091255,0.3344947735191638,0.4166666666666667,0.3458646616541353,0.17073170731707318,0.6593406593406593,0.1631578947368421,0.4774066797642436,0.27692307692307694,0.3225,0.13405797101449277,0.02617801047120419,0.08023483365949119,0.3988919667590028,0.5733855185909981,0.8078512396694215,0.2558139534883721,0.7475538160469667,0.25280898876404495,0.09937888198757763,0.2147239263803681,0.4268774703557312,0.4214876033057851,0.43548387096774194,0.7248322147651006,0.030800821355236138,0.0975609756097561,0.24070450097847357,0.6428571428571429,0.075
PIK3CB,0.42696629213483145,0.538083538083538,0.3365019011406844,0.710801393728223,0.3611111111111111,0.23308270676691728,0.3902439024390244,0.6593406593406593,0.22105263157894736,0.6522593320235757,0.2153846153846154,0.3025,0.36231884057971014,0.020942408376963352,0.07632093933463796,0.2409972299168975,0.46966731898238745,0.8181818181818182,0.27906976744186046,0.7103718199608611,0.2303370786516854,0.5652173913043478,0.17586912065439672,0.3557312252964427,0.3581267217630854,0.3778801843317972,0.40268456375838924,0.01026694045174538,0.0975609756097561,0.2563600782778865,0.6071428571428571,0.55
PIK3R2,0.651685393258427,0.44963144963144963,0.38593155893536124,0.37630662020905925,0.3611111111111111,0.2857142857142857,0.07317073170731707,0.510989010989011,0.42894736842105263,0.3379174852652259,0.3076923076923077,0.12,0.07608695652173914,0.04712041884816754,0.24070450097847357,0.32409972299168976,0.5538160469667319,0.5661157024793388,0.26744186046511625,0.6947162426614482,0.24157303370786518,0.13043478260869565,0.06339468302658487,0.4743083003952569,0.38292011019283745,0.37327188940092165,0.5637583892617449,0.026694045174537988,0.056910569105691054,0.26418786692759294,0.7678571428571429,0.075
PTEN,0.4044943820224719,0.4914004914004914,0.38688212927756654,0.3588850174216028,0.3055555555555556,0.2857142857142857,0.24390243902439024,0.5,0.9184210526315789,0.3379174852652259,0.7692307692307693,0.205,0.09057971014492754,0.031413612565445025,0.22896281800391388,0.3628808864265928,0.42857142857142855,0.621900826446281,0.3488372093023256,0.6066536203522505,0.2696629213483146,0.08074534161490683,0.33537832310838445,0.5770750988142292,0.6584022038567493,0.3847926267281106,0.5167785234899329,0.028747433264887063,0.04878048780487805,0.3522504892367906,0.6785714285714286,0.0125
AKT1,0.43820224719101125,0.48402948402948404,0.4429657794676806,0.34494773519163763,0.5833333333333334,0.4116541353383459,0.0975609756097561,0.5879120879120879,0.3473684210526316,0.46168958742632615,0.36923076923076925,0.4825,0.1956521739130435,0.010471204188481676,0.21526418786692758,0.4182825484764543,0.5244618395303327,0.6466942148760331,0.4418604651162791,0.649706457925636,0.2696629213483146,0.17391304347826086,0.10633946830265849,0.5059288537549407,0.44352617079889806,0.39400921658986177,0.5100671140939598,0.026694045174537988,0.12195121951219512,0.23874755381604695,0.6964285714285714,0.0875
AKT2,0.6629213483146067,0.5208845208845209,0.4011406844106464,0.41114982578397213,0.2777777777777778,0.29135338345864664,0.12195121951219512,0.5164835164835165,0.4,0.3379174852652259,0.3384615384615385,0.1225,0.07608695652173914,0.04712041884816754,0.50293542074364,0.31301939058171746,0.5048923679060665,0.6198347107438017,0.2441860465116279,0.6947162426614482,0.30337078651685395,0.11180124223602485,0.08384458077709611,0.525691699604743,0.35537190082644626,0.3847926267281106,0.5570469798657718,0.022587268993839837,0.04878048780487805,0.24266144814090018,0.8392857142857143,0.0625
AKT3,0.33707865168539325,0.4692874692874693,0.7680608365019012,0.5574912891986062,0.6388888888888888,0.35902255639097747,0.34146341463414637,0.5604395604395604,0.21052631578947367,0.3614931237721022,0.7846153846153846,0.1825,0.14130434782608695,0.020942408376963352,0.12133072407045009,0.7423822714681441,0.7279843444227005,0.5826446280991735,0.3023255813953488,0.6594911937377691,0.3707865168539326,0.2608695652173913,0.10633946830265849,0.48221343873517786,0.6088154269972452,0.3686635944700461,0.48322147651006714,0.06570841889117043,0.22764227642276422,0.42661448140900193,0.7678571428571429,0.175
MTOR,0.4606741573033708,0.3931203931203931,0.47243346007604564,0.40418118466898956,0.8055555555555556,0.3815789473684211,0.12195121951219512,0.521978021978022,0.2657894736842105,0.3005893909626719,0.8153846153846154,0.2125,0.18478260869565216,0.03664921465968586,0.41291585127201563,0.46537396121883656,0.4637964774951076,0.5661157024793388,0.38372093023255816,0.6908023483365949,0.38202247191011235,0.6273291925465838,0.11451942740286299,0.5098814229249012,0.41046831955922863,0.3617511520737327,0.3691275167785235,0.012320328542094456,0.07317073170731707,0.2191780821917808,0.6607142857142857,0.3
TSC1,0.43820224719101125,0.5577395577395577,0.41539923954372626,0.3832752613240418,0.5277777777777778,0.31203007518796994,0.1951219512195122,0.6043956043956044,0.3,0.46168958742632615,0.3076923076923077,0.335,0.12681159420289856,0.020942408376963352,0.17221135029354206,0.37119113573407203,0.5362035225048923,0.6818181818181818,0.29069767441860467,0.7103718199608611,0.3202247191011236,0.08695652173913043,0.1390593047034765,0.49407114624505927,0.5482093663911846,0.4470046082949309,0.5033557046979866,0.06776180698151951,0.13008130081300814,0.26810176125244617,0.8035714285714286,0.125
