geneSymbol,ACC,BLCA,BRCA,CESC,CHOL,COADREAD,DLBC,ESCA,GBM,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STAD,TGCT,THCA,THYM,UCEC,UCS,UVM
PIK3CA,0.011235955056179775,0.22113022113022113,0.3279467680608365,0.2857142857142857,0.05555555555555555,0.2744360902255639,0.0,0.09340659340659341,0.08947368421052632,0.17092337917485265,0.0,0.015,0.010869565217391304,0.0,0.0821917808219178,0.030470914127423823,0.0547945205479452,0.10950413223140495,0.023255813953488372,0.015655577299412915,0.028089887640449437,0.0,0.02044989775051125,0.02766798418972332,0.05785123966942149,0.16359447004608296,0.020134228187919462,0.008213552361396304,0.0,0.49902152641878667,0.3392857142857143,0.0
PIK3R1,0.0,0.0171990171990172,0.027566539923954372,0.03484320557491289,0.027777777777777776,0.06015037593984962,0.0,0.016483516483516484,0.1,0.015717092337917484,0.015384615384615385,0.0025,0.007246376811594203,0.0,0.043052837573385516,0.0110803324099723,0.007827788649706457,0.024793388429752067,0.0,0.0019569471624266144,0.0056179775280898875,0.0,0.002044989775051125,0.003952569169960474,0.027548209366391185,0.03225806451612903,0.0,0.004106776180698152,0.016260162601626018,0.30919765166340507,0.10714285714285714,0.0
PIK3CB,0.0,0.022113022113022112,0.009505703422053232,0.003484320557491289,0.027777777777777776,0.020676691729323307,0.0,0.02197802197802198,0.02631578947368421,0.011787819253438114,0.0,0.005,0.007246376811594203,0.010471204188481676,0.003913894324853229,0.008310249307479225,0.019569471624266144,0.028925619834710745,0.0,0.01761252446183953,0.0056179775280898875,0.0,0.006134969325153374,0.003952569169960474,0.024793388429752067,0.02304147465437788,0.006711409395973154,0.002053388090349076,0.0,0.08610567514677103,0.0,0.0
PIK3R2,0.011235955056179775,0.009828009828009828,0.0038022813688212928,0.003484320557491289,0.0,0.018796992481203006,0.0,0.005494505494505495,0.010526315789473684,0.009823182711198428,0.0,0.01,0.007246376811594203,0.005235602094240838,0.0019569471624266144,0.008310249307479225,0.007827788649706457,0.022727272727272728,0.0,0.005870841487279843,0.0056179775280898875,0.0,0.006134969325153374,0.003952569169960474,0.030303030303030304,0.02534562211981567,0.0,0.0,0.0,0.046966731898238745,0.0,0.0
PTEN,0.0,0.03931203931203931,0.053231939163498096,0.07317073170731707,0.027777777777777776,0.06390977443609022,0.024390243902439025,0.03296703296703297,0.33421052631578946,0.023575638506876228,0.09230769230769231,0.03,0.025362318840579712,0.0,0.046966731898238745,0.01662049861495845,0.0136986301369863,0.10537190082644628,0.023255813953488372,0.0136986301369863,0.0,0.0,0.03680981595092025,0.023715415019762844,0.09641873278236915,0.07373271889400922,0.0,0.004106776180698152,0.0,0.649706457925636,0.19642857142857142,0.0
AKT1,0.0,0.009828009828009828,0.025665399239543727,0.020905923344947737,0.0,0.020676691729323307,0.0,0.01098901098901099,0.005263157894736842,0.003929273084479371,0.0,0.0025,0.0,0.0,0.0019569471624266144,0.0,0.007827788649706457,0.010330578512396695,0.0,0.0,0.0,0.0,0.006134969325153374,0.0,0.030303030303030304,0.009216589861751152,0.0,0.01026694045174538,0.008130081300813009,0.03718199608610567,0.0,0.0
AKT2,0.0,0.009828009828009828,0.0038022813688212928,0.017421602787456445,0.0,0.009398496240601503,0.024390243902439025,0.005494505494505495,0.0,0.005893909626719057,0.0,0.005,0.007246376811594203,0.0,0.0,0.002770083102493075,0.0136986301369863,0.010330578512396695,0.0,0.0019569471624266144,0.0056179775280898875,0.0,0.0,0.003952569169960474,0.02203856749311295,0.020737327188940093,0.0,0.004106776180698152,0.0,0.0410958904109589,0.0,0.0
AKT3,0.0,0.0171990171990172,0.006653992395437262,0.013937282229965157,0.0,0.02443609022556391,0.0,0.01098901098901099,0.002631578947368421,0.009823182711198428,0.0,0.0025,0.0036231884057971015,0.0,0.0019569471624266144,0.00554016620498615,0.01761252446183953,0.008264462809917356,0.011627906976744186,0.0,0.0056179775280898875,0.0,0.002044989775051125,0.0,0.024793388429752067,0.018433179723502304,0.0,0.002053388090349076,0.0,0.060665362035225046,0.0,0.0
MTOR,0.0,0.0343980343980344,0.019011406844106463,0.027874564459930314,0.0,0.07518796992481203,0.0,0.038461538461538464,0.013157894736842105,0.01768172888015717,0.03076923076923077,0.0775,0.014492753623188406,0.015706806282722512,0.011741682974559686,0.019390581717451522,0.046966731898238745,0.03512396694214876,0.011627906976744186,0.019569471624266144,0.016853932584269662,0.006211180124223602,0.00408997955010225,0.003952569169960474,0.12121212121212122,0.06912442396313365,0.0,0.0,0.016260162601626018,0.1232876712328767,0.0,0.0125
TSC1,0.0,0.085995085995086,0.008555133079847909,0.020905923344947737,0.027777777777777776,0.03383458646616541,0.0,0.03296703296703297,0.010526315789473684,0.003929273084479371,0.03076923076923077,0.005,0.014492753623188406,0.0,0.003913894324853229,0.019390581717451522,0.0136986301369863,0.02066115702479339,0.011627906976744186,0.003913894324853229,0.0056179775280898875,0.0,0.002044989775051125,0.007905138339920948,0.06336088154269973,0.01152073732718894,0.0,0.002053388090349076,0.0,0.0821917808219178,0.017857142857142856,0.0
TSC2,0.011235955056179775,0.022113022113022112,0.008555133079847909,0.041811846689895474,0.027777777777777776,0.03195488721804511,0.0,0.027472527472527472,0.010526315789473684,0.011787819253438114,0.03076923076923077,0.01,0.021739130434782608,0.0,0.005870841487279843,0.036011080332409975,0.021526418786692758,0.03305785123966942,0.011627906976744186,0.0136986301369863,0.011235955056179775,0.006211180124223602,0.0081799591002045,0.023715415019762844,0.09090909090909091,0.03686635944700461,0.0,0.0,0.008130081300813009,0.07436399217221135,0.0,0.0
